"","logFC","logCPM","F","PValue","FDR"
"MSTRG.19531",7.16055328801791,7.83250483572641,1311.92477084665,2.51624685665721e-11,4.50282374998808e-07
"MSTRG.19535",7.28065013267116,7.87364538535509,824.506797358366,2.14653675136667e-10,1.92061375828532e-06
"MSTRG.20576",7.43321305006626,10.1798939660311,516.394543101394,1.80951358738982e-09,1.07937485487803e-05
"MSTRG.18768",-2.48301779232263,6.65038140829627,313.78635834919,1.74960729231773e-08,7.82730562400645e-05
"MSTRG.20560",-3.1969207597834,3.48936962252825,224.238876244551,8.08815734723109e-08,0.000289475151457401
"MSTRG.18326",-2.60678909171826,8.05844144207654,159.971950623148,3.58021999527412e-07,0.00106780061359051
"MSTRG.14495",-1.42012288744497,5.19007646537181,119.584056646761,1.28272982535638e-06,0.00327920717496463
"MSTRG.2148",-2.88171737563245,5.36325369566452,111.390761848907,1.74580090406385e-06,0.0033971747805052
"MSTRG.747",-3.67025664447484,1.88137896272205,108.642469488528,1.99345516338207e-06,0.0033971747805052
"MSTRG.9322",-1.51294240306241,6.39625947910086,106.70776241579,2.10012547735598e-06,0.0033971747805052
"MSTRG.18769",-3.1468613587233,3.71812968348781,104.423566621884,2.32275495820972e-06,0.0033971747805052
"MSTRG.14223",1.18281079679173,7.68187001536313,103.203950802944,2.42479893399068e-06,0.0033971747805052
"MSTRG.15574",1.85428595295233,9.29571206219662,98.6147910309573,2.94786317692841e-06,0.0033971747805052
"MSTRG.18797",-4.64190881067087,2.90703749052399,99.4707216098066,2.98243329731169e-06,0.0033971747805052
"MSTRG.12570",2.87118303889105,4.39103924249338,97.1508326770508,3.15225522891427e-06,0.0033971747805052
"MSTRG.7801",-1.95897702225943,7.03031697902567,96.6407287331787,3.21460617535197e-06,0.0033971747805052
"MSTRG.201",1.74047436392149,5.91073464318841,96.5552324739598,3.22726858164786e-06,0.0033971747805052
"MSTRG.8249",-1.73364106363354,4.48458643681449,94.2719535501324,3.5773183474474e-06,0.00348646568427734
"MSTRG.10060",1.24907830395442,6.85748601333747,93.5025581375055,3.70175177430955e-06,0.00348646568427734
"MSTRG.12571",3.03043502652948,-0.430957914542473,56.8370074697385,4.03077524040082e-06,0.00360653614634864
"MSTRG.9392",3.12937929106637,6.0549797921756,87.3643456721263,4.94490266219809e-06,0.0042137634828588
"MSTRG.11111",1.02448233607348,6.42201558118409,84.9828305946814,5.55681715476423e-06,0.00451996559020481
"MSTRG.6920",-1.37703568360093,7.28856355712525,80.4085404886173,7.01920482036841e-06,0.00500817316519979
"MSTRG.14124",3.66633856961184,-0.152311916390209,48.6988926693453,7.31892358510321e-06,0.00500817316519979
"MSTRG.3027",-2.66064173016241,2.31703048521049,80.1499375216615,7.3601403731201e-06,0.00500817316519979
"MSTRG.5094",0.958394648481613,7.31157913010172,78.3448530251877,7.83059533335717e-06,0.00500817316519979
"MSTRG.18883",0.964475308398275,6.95919131361865,78.3384260602085,7.83331001502481e-06,0.00500817316519979
"MSTRG.9597",-1.3277347144891,7.10308151634525,77.7368260206776,8.09111322078788e-06,0.00500817316519979
"MSTRG.8808",1.95404644336947,3.10914285837617,77.7794470945086,8.11606715790968e-06,0.00500817316519979
"MSTRG.14126",10.4064393045887,9.27584053348872,77.1021968479697,8.88933348520307e-06,0.00526011760326329
"MSTRG.3581",2.48193943481615,4.60531598983282,75.5879796514951,9.11224619732675e-06,0.00526011760326329
"MSTRG.12796",1.12606988872135,5.82594836152886,73.5602907682423,1.01973652595712e-05,0.00570255785375083
"MSTRG.12941",-1.17074777326211,8.9877869886992,70.1096867938492,1.24553106643643e-05,0.00675417528299392
"MSTRG.419",2.81858097363931,-0.709885733741018,44.7595489488063,1.32376269335864e-05,0.0068039150771306
"MSTRG.18386",-1.3369058189312,5.63194357588231,69.0034529241498,1.33074617323035e-05,0.0068039150771306
"MSTRG.14645",-2.36972105922551,4.02786200047907,68.0647611033955,1.41072991708548e-05,0.00701250329617905
"MSTRG.11918",-1.61511439507499,6.69386276722545,65.6658268782941,1.63346124629465e-05,0.00790021324390344
"MSTRG.5238",1.92033633857844,4.98906100826438,65.1288183339641,1.69048739987006e-05,0.00796086105807229
"MSTRG.2320",-2.66985019318732,2.48666768693609,64.9503860245377,1.75002793629678e-05,0.00802993587693098
"MSTRG.12657",-2.40164046788469,7.16664020155792,62.9004997277652,1.9498876796211e-05,0.00848611146586878
"MSTRG.1477",1.80723588128203,6.14474739335671,62.7682230471025,1.96701126119484e-05,0.00848611146586878
"MSTRG.18086",1.98907685875353,4.51446698019469,62.2623798169685,2.03492424904525e-05,0.00848611146586878
"MSTRG.1683",1.48040175441969,7.38252355514875,62.2180231930167,2.03913267970024e-05,0.00848611146586878
"MSTRG.7756",3.00781829867333,2.67126453200532,60.6338752256051,2.35782992836198e-05,0.00932758015560744
"MSTRG.10607",-1.32506183189145,4.40067412474558,59.9286318222676,2.37835744194379e-05,0.00932758015560744
"MSTRG.19828",-1.63586878611745,4.51750877525722,59.8105437638956,2.39770152086025e-05,0.00932758015560744
"MSTRG.18153",-0.780822466525587,4.72247110689917,58.0466685903498,2.70792819424944e-05,0.00989635168434412
"MSTRG.2560",3.57995564494453,-0.399947599938055,37.5190434013669,2.72801793300383e-05,0.00989635168434412
"MSTRG.11914",-1.40028143937101,6.92700079870815,57.8328534943514,2.74803067434057e-05,0.00989635168434412
"MSTRG.1819",0.794008933818126,5.93175053665967,57.7459871742181,2.76511642479579e-05,0.00989635168434412
"MSTRG.5500",0.886369155974812,5.59571154825306,57.34444989836,2.84462843040255e-05,0.00998129916903013
"MSTRG.6256",0.983772739835284,4.90718861794488,56.7743088551812,2.96282026415754e-05,0.010155405217795
"MSTRG.10684",2.47779751124795,0.397615625024511,52.0028372737842,3.01083594457179e-05,0.010155405217795
"MSTRG.4035",1.42592014165753,9.93074777721942,56.2997086107989,3.06449780251987e-05,0.010155405217795
"MSTRG.12305",-1.20518895554094,5.28070653285417,55.2907265093279,3.29764932324318e-05,0.0107293517526249
"MSTRG.6802",0.790574418112981,4.38678343762593,52.4020664592843,4.09413214133707e-05,0.0130829454766477
"MSTRG.3802",3.56190807165847,2.9125118128632,52.577150206971,4.22680274402592e-05,0.0132297662899327
"MSTRG.6527",1.11562754869399,3.9657137641094,51.804428196739,4.28793766312433e-05,0.0132297662899327
"MSTRG.11318",3.89538845832897,0.214820773658702,34.7893499879592,4.68014918583684e-05,0.0140703918960912
"MSTRG.14123",5.75644072212072,3.67455633833805,48.4519709458562,4.71765025853854e-05,0.0140703918960912
"MSTRG.7803",-1.40460113982222,4.87567700924635,50.0716251203519,4.91046879300783e-05,0.0144053834509631
"MSTRG.1077",3.189852410486,2.34661321239877,50.0411680642736,5.16336734594353e-05,0.0147836303381582
"MSTRG.11282",1.13999539385133,6.88484817210829,49.3414057129915,5.20463096565503e-05,0.0147836303381582
"MSTRG.13341",4.35192900366532,-0.618477377846414,37.348443239032,5.34215628549268e-05,0.0148992074653344
"MSTRG.12377",1.53997756622676,7.15164764236595,48.6951809349981,5.48462466011664e-05,0.0148992074653344
"MSTRG.5060",-1.15076384363886,4.67132101536766,48.525959781559,5.56278232696353e-05,0.0148992074653344
"MSTRG.13904",-1.64614082422842,4.05847630094378,48.4970866979551,5.57835652516013e-05,0.0148992074653344
"MSTRG.1174",1.54960504677828,4.66484484983506,48.2369160104171,5.69683609458734e-05,0.0149918943989177
"MSTRG.367",1.04324926767378,6.77856663438086,47.0603040228382,6.27904688013543e-05,0.0161460459765316
"MSTRG.19315",-10.8909822087599,1.93456390343445,87.4909847318322,6.31586039875503e-05,0.0161460459765316
"MSTRG.6082",3.20471818183185,1.68537413736097,45.93637180618,6.737951400451e-05,0.016982484550855
"MSTRG.487",1.47069700787169,6.05468067397318,46.0635060895207,6.83292243601834e-05,0.0169826593045206
"MSTRG.20417",-6.08369889750216,0.924385792760146,32.3576666952422,7.27232184125652e-05,0.0178271505957925
"MSTRG.18922",-1.14268562393468,4.83616280558011,44.9748621151503,7.50784988492503e-05,0.0181528702334039
"MSTRG.3135",3.25992742973686,3.12500417566669,45.0202150889368,7.65528280415807e-05,0.0181528702334039
"MSTRG.13416",-1.40248777726713,5.74605530329659,44.6702121976932,7.70951739446045e-05,0.0181528702334039
"MSTRG.17713",-1.37305365616691,4.01579177493573,43.9755061761675,8.20173498920562e-05,0.0190373012043332
"MSTRG.10876",-0.907051428082176,6.87843685183572,43.7647824283604,8.35190310686244e-05,0.0190373012043332
"MSTRG.1933",1.38219500931069,5.4301537675437,43.6964080590624,8.40428496866345e-05,0.0190373012043332
"MSTRG.20660",-1.38555407447585,4.38284044488653,43.125801549747,8.84932403229714e-05,0.0197948316947447
"MSTRG.10826",0.981145297778191,6.55196689298112,42.7037684460043,9.19077285409671e-05,0.0203048000276618
"MSTRG.14631",1.27769979016741,3.33351761961535,42.2338987279941,9.60991498231828e-05,0.0208105661453755
"MSTRG.13505",1.14736003355397,4.21439692141815,42.1430471651029,9.68031839253001e-05,0.0208105661453755
"MSTRG.19629",2.56223244473527,1.3514236744628,42.2085246030238,9.77109214235191e-05,0.0208105661453755
"MSTRG.17928",3.00734689761731,2.87845843254522,42.1558618378495,9.88487355326579e-05,0.0208105661453755
